Name
React.js
HTML5
Azure
.NET Core
C#
Python
Team Coordination
SOLID Design Principles
Stream Analytics
Application Insights
Grafana
System Monitoring
Durable Functions
Node.js
Azure Databricks
Coaching
Mentoring
Azure Functions
Logic Apps
Terraform
Communication
Azure Cosmos DB
Test-Driven Development
Solution Architecture
SQL
Software Development
JavaScript
Java
Computer Science
HTML
Web Development
Algorithms
Theoretical Computer Science
LaTeX
Microsoft Office
Microsoft Excel
Microsoft Word
Microsoft PowerPoint
Adobe Photoshop
Adobe Illustrator
Programming
Agile Methodologies
Microsoft Azure
Angular
Digital Painting
Digital Illustration
Audio Engineering
Audio Compression
