Name
Microsoft Azure
.NET Core
C#
Team Leadership
Stakeholder Management
Architecture
Team Coordination
Azure Kubernetes Service (AKS)
Python
Presentation Skills
System Monitoring
React.js
SOLID Design Principles
Stream Analytics
Application Insights
Grafana
Durable Functions
Azure Databricks
Coaching
Mentoring
Test-Driven Development
Communication
Azure Functions
Azure Cosmos DB
SQL
Terraform
Logic Apps
Agile Methodologies
Solution Architecture
Software Development
JavaScript
HTML
Java
Web Development
Algorithms
Angular
Computer Science
Node.js
